Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,108.73999786376953,110.98999786376953,108.7300033569336,110.37000274658203,71.15267181396484,11518700
2012-01-04,109.83000183105469,110.37000274658203,109.19999694824219,110.18000030517578,71.03016662597656,8019100
2012-01-05,109.38999938964844,109.54000091552734,107.97000122070312,109.0999984741211,70.33394622802734,7184900
2012-01-06,109.41000366210938,109.61000061035156,108.08999633789062,108.30999755859375,69.82463836669922,8214900
2012-01-09,108.23999786376953,109.66999816894531,108.02999877929688,109.48999786376953,70.5853500366211,7118800
2012-01-10,110.12000274658203,110.66000366210938,108.9000015258789,109.05999755859375,70.30816650390625,7641800
2012-01-11,108.51000213623047,108.6500015258789,107.12999725341797,107.7699966430664,69.47653198242188,7802500
2012-01-12,104.5199966430664,106.04000091552734,104.5199966430664,104.97000122070312,67.67144012451172,11897200
2012-01-13,104.62000274658203,106.1500015258789,103.51000213623047,106.08999633789062,68.3934326171875,8266900
2012-01-17,107.2699966430664,107.9800033569336,106.02999877929688,106.72000122070312,68.79960632324219,6925300
2012-01-18,106.0,106.94000244140625,105.19999694824219,106.83000183105469,68.87052154541016,6581400
2012-01-19,107.20999908447266,107.5,105.81999969482422,106.93000030517578,68.93501281738281,5666100
2012-01-20,106.94999694824219,107.19999694824219,106.25,106.88999938964844,68.90918731689453,7284600
2012-01-23,106.98999786376953,107.5,106.55999755859375,107.01000213623047,68.98658752441406,6506700
2012-01-24,106.44999694824219,107.08999633789062,106.18000030517578,106.72000122070312,68.79960632324219,5041400
2012-01-25,106.37000274658203,108.0,105.08999633789062,107.7300033569336,69.45071411132812,8020700
2012-01-26,108.02999877929688,108.56999969482422,106.3499984741211,106.58999633789062,68.71580505371094,7000400
2012-01-27,104.38999938964844,104.66999816894531,103.12000274658203,103.95999908447266,67.02033233642578,10581500
2012-01-30,103.4000015258789,103.5,102.08000183105469,103.41000366210938,66.6657485961914,7615700
2012-01-31,104.61000061035156,104.77999877929688,102.4000015258789,103.12000274658203,66.47881317138672,8320100
2012-02-01,104.41999816894531,104.41999816894531,102.68000030517578,102.79000091552734,66.26602172851562,7824500
2012-02-02,103.02999877929688,103.95999908447266,102.87999725341797,103.69000244140625,66.84623718261719,5897200
2012-02-03,104.91000366210938,105.5999984741211,104.4800033569336,105.5,68.01311492919922,6818600
2012-02-06,104.62000274658203,106.76000213623047,104.37000274658203,106.66999816894531,68.76739501953125,6443600
2012-02-07,106.0199966430664,107.05999755859375,105.44000244140625,106.83000183105469,68.87052154541016,6034700
2012-02-08,107.2699966430664,107.5,106.08999633789062,106.76000213623047,68.82540130615234,5383700
2012-02-09,107.18000030517578,107.41000366210938,106.06999969482422,106.37000274658203,68.573974609375,4751400
2012-02-10,105.19000244140625,105.5199966430664,104.58000183105469,105.27999877929688,67.87128448486328,6136800
2012-02-13,106.16000366210938,106.52999877929688,105.44999694824219,106.37999725341797,68.58040618896484,4695500
2012-02-14,106.25,106.52999877929688,105.56999969482422,106.48999786376953,68.65133666992188,5974800
2012-02-15,106.23999786376953,106.23999786376953,104.58999633789062,105.0,68.20960235595703,6553800
2012-02-16,105.5199966430664,106.56999969482422,104.80000305175781,106.5199966430664,69.19699096679688,5733900
2012-02-17,107.0199966430664,107.23999786376953,106.04000091552734,106.66000366210938,69.28793334960938,5666500
2012-02-21,107.51000213623047,108.5,107.44000244140625,108.41000366210938,70.4247817993164,7149000
2012-02-22,108.16000366210938,108.55999755859375,107.19999694824219,107.5,69.83362579345703,7150000
2012-02-23,107.54000091552734,108.5,107.31999969482422,108.3499984741211,70.38581085205078,5504800
2012-02-24,108.80000305175781,109.4000015258789,108.5,109.08000183105469,70.86003112792969,5833300
2012-02-27,108.29000091552734,110.22000122070312,108.27999877929688,109.62999725341797,71.21731567382812,7723400
2012-02-28,109.68000030517578,110.4000015258789,109.18000030517578,109.61000061035156,71.20433044433594,9132500
2012-02-29,110.4000015258789,110.91999816894531,108.91999816894531,109.12000274658203,70.88601684570312,10572800
2012-03-01,109.16999816894531,110.13999938964844,109.0999984741211,109.76000213623047,71.30175018310547,5980100
2012-03-02,109.5,109.87000274658203,109.0,109.61000061035156,71.20433044433594,5377100
